Article_ID,Country_Region
1,Schwann
1,Kif4a
2,n/2
3,Portugal
3,F1
7,AI
10,Unity
12,F1
22,Brazil
22,Spain
22,Italy
22,Portugal
22,AI
25,Guadeloupe
25,Portugal
25,Senegal
26,Portugal
33,Portugal
33,Spain
41,Hg
41,South Georgia
43,AP4E1
50,Denmark
53,Guadeloupe
53,Senegal
53,Portugal
56,L1
57,Gibbs
58,Portugal
58,Florida
58,Melbourne Beach
58,Juno Beach
58,Ft. Lauderdale
61,preeclampsia
65,Tratado
66,Platalea
66,Ria Formosa
68,hPa
69,AI
74,Ruditapes
74,EF
79,the Mantiqueira Province
79,Cabo Frio
79,LA
79,"between---9,7 and-5,0"
79,Ga.
79,Lagos
79,Lagos Region
79,Congo
85,UC
90,Portugal
90,Germany
90,AI
92,Rio de Janeiro State
92,Brazil
92,SB
95,Germany
99,Portugal
100,Candida
100,Cryptococcus
100,Portugal
101,macroalgae
101,Pelvetia
103,Fermi
104,ER
104,HER2
107,LiYF
109,Portugal
109,Santa Joana
109,Caramullan
109,Vouzela
110,mL−1
111,Portugal
117,Zn
117,PP
120,group#2
131,Portugal
131,Saprolegnia
131,UE
131,Aeromonas
133,Gansu Province
133,China
135,PP
144,myositis
144,anaesthesia
150,Portugal
150,Spain
150,EF
151,Finaly
153,NE
154,Santos
155,Brazil
155,GB
155,the Little Ice Age
162,Brazil
163,Orbiniidae
163,Microrbinia
170,HeLa
174,Portugal
176,Matilde
178,Portugal
178,Trevarthen
183,Ni-NPs
183,Mytilus spp
183,Mytilus
184,Portugal
185,Portugal
185,Angola
190,Dratopi
192,Pirkle
192,MD
197,Brazil
197,SB
197,Zn
197,Hg
200,ES
202,Brazil
202,Zn
204,CERRA
206,KI
207,Fogo
208,Lisbon
208,Portugal
208,bioburden
210,Portugal
211,Portugal
212,Ni
212,Zn
214,Brazil
214,Canada
214,Portugal
215,Kaggle
215,Pakistan
217,Neogloboquadrina
219,Anisakis
220,Ruditapes
222,LILACS
223,Portugal
226,Portugal
227,Portugal
228,SjD
235,Faraday
238,Portugal
239,GRMHD
242,Australia
242,South Africa
243,AI
248,N. shiloi
250,parthenogenetica
252,myositis
255,Brazil
255,Vitória-Trindade Ridge
256,Cu
257,Multimedia
262,IrO
272,United States
272,US
272,GM_CS
274,Thrichomys
275,Portugal
275,NE
276,Mellin
277,Portugal
277,PUBMED
278,Python
281,SIMION
282,AI
283,Lisbon
286,Ind.
288,Cyanobacteria
288,cyanobacteria
288,Portugal
289,Estrela
290,Lisbon
290,Portugal
291,Artemia
292,Portugal
295,NIR
295,EB
299,Cardiology
300,Yttria
301,Pakistan
301,Lahore
301,Gujranwala
304,macroalgal
305,Platalea
305,Portugal
305,colonies
306,HF
306,Duval
309,DDoS
310,Portugal
310,NOS2030
310,NOS2023
311,AI
311,Canada
311,the United States
311,China
312,Portugal
313,Luanda
313,Angola
314,GB
314,Rio de Janeiro State
314,Brazil
319,Portugal
322,Zn
322,ZnO
322,ZnO_Ph
324,RT
327,Crato - CE
327,the Public Use Zone
327,Sítio Pinheiros
327,Barbalha
330,HER2
333,Cu
335,Portugal
335,Pejão
337,Luanda
337,Angola
337,Zn
337,Sb
337,Cd
339,BioTIME
341,France
343,White
345,Kazakh
348,Portugal
351,Brazil
351,Paraty Harbor
351,Zn
355,AI
358,Euphausia
358,South Sandwich Islands
364,Oecusse
364,Timor Island
364,Timor
365,K(Y
366,Angola
369,US
369,Revolt
373,ZnO
373,Zn
373,ZCVO
379,Portugal
379,Sequential
380,Delphinus
380,Phocoena
380,l.w.
383,USA
383,China
384,arthralgia
384,dysphagia
387,England
388,Yukawa
389,F1
391,Mulch
391,mulch
392,Tunisia
392,LA
394,São Paulo
394,Brazil
398,Adenanthera pavonina L.
401,Hermetia
404,Portugal
406,Portugal
411,MD
411,PPU
412,LA
414,Portugal
415,Schwarzschild
426,Brazil
427,Portugal
428,common minke
428,Portugal
428,Northwest Spain
429,Santo
429,Opresko
431,Opuntia
433,AI
433,Zenoh
434,Brazil
434,Mamanguá
434,Reis City
434,Tl
435,Manila
435,Portugal
441,Netflix
443,Scotland
445,Olea
446,Portugal
449,AI
454,Portugal
460,Portugal
465,NE
465,Nereis
465,s.s.
467,MR
471,China
471,Saudi Arabia
471,Brazil
472,Platalea
473,myositis
477,Arenas-Henriquez et al
477,Israel
479,AI
482,Egypt
484,US
486,HTR United
495,DCF
503,Brazil
504,Si(001
505,Newton
506,Resignação
511,Spirulina
511,NADES
514,NIR
520,Spain
520,Andalusia
520,Portugal
523,ROC
527,Context Scale
528,Lahore
528,Gujranwala
528,F1
528,Pakistan
531,Brazil
532,New Zealand
534,Broadband
534,AI
535,Gibbs
537,Grades
538,Angolan
538,Portugal
538,Angola
539,Portugal
542,starch
542,Starch
545,Portugal
545,P. pachypleura
546,Fasciola
546,Portugal
559,Iran
560,width
563,node
564,Camargue
567,Bahia
567,Brazil
569,Portugal
571,TadGAN
571,anomaly
577,Patagonia
577,Nb
588,UK
588,Pakistan
591,Portugal
595,AI
596,Ca
603,Portugal
603,LEK
604,Delgado
605,Portugal
606,Valongo
615,DP
625,AI
626,Portugal
626,AI
629,80:10:10
629,MobileNet
629,AI
635,F1
637,F1
642,Brazil
643,Meox2
647,Chemistry
658,AI
665,Mo.
667,US
683,ST
685,Phoenix
685,Biskra
685,Algeria
686,Algarve
686,Autonomous Region
687,Portugal
697,Oeiras
697,Portugal
702,Instagram
705,DC
707,Bessel
708,CPP
713,anesthesia
716,SATCOM
717,Random
718,Aveiro
718,Portugal
718,Karlsruhe
718,Germany
719,MR
728,San Francisco
729,UK
729,AI
736,Alentejo
736,Portugal
740,AI
742,NLoS
755,HbAA
757,Portugal
757,Lisbon
758,AI
759,AI
761,Macau
761,the Special Administrative Region
761,Macao
763,Jordan
763,Amman
764,Paraná
767,Portugal
771,HF
772,PD
775,Portugal
780,Amazonas
780,Brazil
781,Santa Maria da Feira
781,Portugal
782,Lean
790,AI
790,Brazil
790,Portugal
812,Mário Cesariny
812,Cesariny
812,Orpheu
813,Portugal
813,Barroso
819,Canada
819,Colombia
819,United States
819,New Zealand
819,England
819,Sweden
819,Brazil
824,VR
826,ROC
829,wideband
830,DC
832,Portugal
833,Portugal
840,anesthesia
847,Zyzzyva
850,Elderly
855,xenon
869,Porto
874,Portugal
876,Portugal
879,Lulworthiomycetidae
879,MCM7
879,Lulworthiales
879,Lulwoana
879,Lulwoidea
879,Matsusporium
879,Paralulworthia
879,Paramoleospora
879,Sammeyersia
884,Portugal
885,the Kingdom of Portugal
886,Portugal
886,Spain
887,Portugal
888,Portugal
889,Portugal
892,Xálima
892,San Martín de Trevejo
892,Valverde
895,Brazil
896,Zn
897,Rietveld
900,Aveiro
900,Portugal
902,Xylem
902,L1
903,Portugal
905,L1
909,CR
909,Coccidioides
915,Portugal
919,Delphinus
919,Biscay
924,IV
924,Centro
924,Portugal
925,France
925,Germany
925,Luxembourg
925,Portugal
933,Luanda
933,Angola
933,formaldehyde
933,propionaldehyde
933,butyraldehyde
935,Portugal
938,Morocco
938,Algeria
938,Tunisia
939,CCS
939,Estonia
939,Portugal
939,Romania
943,Belgium
943,Cyprus
943,Czech Republic
943,Greece
943,Italy
943,Netherlands
943,Portugal
943,Slovenia
946,CD5L
948,Nextstrain
948,Illumina
951,Portugal
953,Portugal
953,CERN
953,Japan
953,Germany
956,AC
962,C.I.
963,Portugal
964,Viseu
964,Portugal
972,Brazil
973,Zn
974,Coimbra
974,Portugal
975,n⩾36
981,Portugal
990,neoplasia
991,Brazil
993,Oecusse
993,East Timor
993,Timor
993,Cr
993,Maubisse
995,SB
995,Rio de Janeiro State
995,Brazil
995,Ammonia
996,Lipid
997,Arctocephalus
998,Portugal
999,L
1002,Brazil
1012,NCs
1019,Warburg
1022,boson
1025,Brazil
1025,Portugal
1029,F1
1034,Brazil
1034,SB
1034,Zn
1034,Ammonia
1034,Hayward
1034,North and
1035,Portugal
1039,vanillin
1040,Portugal
1041,Candida
1042,North Patagonia
1042,Argentina
1042,al.
1046,Candida
1047,Iran
1047,Cenozoic
1058,Angola
1058,Brazil
1058,Cape Verde
1058,Mozambique
1058,Portugal
1058,East Timor
1058,Spain
1060,Patagonia
1060,Gondwana
1061,Brazil
1061,Buriti
1061,San Ignacio
1065,Portugal
1066,LA
1066,AWT
1067,UC
1071,Portugal
1071,Chiroptera
1072,Thermodynamics
1073,the Santos Basin
1073,Brazil
1079,Ecuador
1082,ZnO
1088,Morocco
1088,Laurasia
1089,Jurassic
1089,NE
1091,macroalgae
1091,Laminaria
1092,Paimogo
1092,Jurassic
1092,Portugal
1102,DM
1104,Ammonia
1107,Redox
1114,Portugal
1114,Cambisols
1115,Doñana
1119,EL
1121,Voronoi
1127,Portugal
1128,Portugal
1131,Puertos
1134,SB
1134,Cdeg
1134,Ni
1134,Hg
1137,≥
1150,Portugal
1150,Li
1153,Portugal
1153,Nurse
1154,hydroxyl
1155,Portugal
1156,Portugal
1157,myositis
1157,Myositis
1164,syphilis
1164,Portugal
1164,STI
1165,Portugal
1170,AI
1174,myositis
1175,Portugal
1175,Proteobacteria
1175,Sphingomonadales
1175,Nitrosomonadales
1175,Xanthomonadales
1175,Alteromonadales
1175,Legionellales
1177,F1
1178,Ammonia
1178,ammonia
1178,NOx
1182,DC
1183,RC
1184,YNbO
1185,Portugal
1185,Zn
1185,Panasqueira
1188,chloro
1194,Biscay
1197,DAS28
1202,Translation
1208,HF
1208,DG
1212,Aveiro
1212,Portugal
1216,AI
1218,AI
1219,MIL-120(Al)-AP
1220,Liga
1223,Portugal
1227,L
1228,Portugal
1233,New β-amino
1233,DSSC
1234,Porto
1234,Portugal
1235,Portugal
1235,AI
1235,Spain
1240,Eq
1241,GC
1241,phenolic
1244,Transferrin
1245,KTF
1249,Lasiodiplodia
1251,Portugal
1251,Ria de Aveiro
1257,Portugal
1267,Fintech
1269,Foxo3
1269,Foxo3cKO
1270,Bacteroidia
1270,Clostridia
1274,GRMHD
1275,Portugal
1276,Portugal
1279,Golden
1280,GB
1280,Brazil
1280,Botafogo
1280,Glória
1284,F1
1285,klf2a
1286,kNN
1286,RI
1289,Duval
1294,Portugal
1299,AI
1301,Ni
1301,KP
1304,silicas
1308,phloroglucinol
1310,Portugal
1319,Portugal
1321,Portugal
1321,CL
1322,Saudi Arabia
1323,Cronbach
1326,Zr
1331,Portugal
1332,Portugal
1333,Fredholm
1338,Portugal
1340,Portugal
1341,Zn
1341,Ni
1344,X4
1346,Conducting
1346,Brazil
1346,The United States
1352,Portugal
1359,Leishmaniasis
1361,Portugal
1363,Australia
1363,Bolivia
1363,Brazil
1363,Canada
1363,China
1363,Ghana
1363,Iran
1363,Mexico
1363,Mongolia
1363,Portugal
1363,Poland
1364,La(Fe
1364,Gibbs
1365,IV
1366,Santarém
1366,Portugal
1366,North Africa
1366,Iberia
1369,Cu
1369,Zn
1369,Furnas Village
1369,Eu
1370,Maillard
1373,Didelphis
1377,SB
1377,Brazil
1378,Portugal
1379,CERN
1381,Brazil
1382,GC-2B
1388,Pakistan
1390,Artemisia
1391,ZnO
1391,Zn
1391,ZnO_Ph
1392,AI
1392,Brazil
1393,the United States of America
1394,Palatini
1394,boson
1396,B450
1396,Zn
1399,LiYF
1401,Bombyx
1406,myositis
1411,Salicornia
1415,Portugal
1415,Mondego
1418,North Patagonia
1418,Argentina
1420,miRNAs
1424,EL
1424,EL region
1425,Portugal
1426,Bolivina
1426,Nonionella
1428,"N=72,627"
1428,Mage=32.84
1428,SDage=12.57
1428,US
1428,Canada
1429,Berlenga
1431,Zn
1433,Portugal
1437,Eu-6
1439,Portugal
1440,Aveiro
1440,Portugal
1441,Portugal
1441,Amoxicillin
1444,Lophelia
1445,Ediacaran
1445,Gondwana
1445,Iran
1445,Anatolia
1449,LA
1450,NIR
1453,GWTC-2
1453,GWTC-1
1455,Zn
1458,Streptococcus
1459,IO
1459,Portugal
1463,Background
1463,Portugal
1464,Portugal
1467,Spain
1467,Badajoz
1467,Guadiana
1476,UC
1476,CF
1478,AI
1479,AI
1482,Photovoltaic
1487,AI
1491,AI
1493,Groundwater
1494,Spain
1496,PhET
1497,Belgium
1500,Salicornia
1501,Viana
1501,Castelo
1501,Portugal
1503,Larnaca
1503,hyposphenia
1503,Apseudopsis
1504,AI
1505,PubMed
1506,South Africa
1507,Croatia
1507,Bulgaria
1507,Romania
1507,the Municipality of Draž
1508,Portugal
1512,Understanding
1513,Portugal
1514,F1
1518,Lautém
1518,Timor
1520,Newton
1525,Porto-Portugal
1529,Portugal
1531,Timor
1532,Netherlands
1538,Brazil
1538,Portugal
1540,Iran
1540,Nb
1541,antennas
1547,Portugal
1547,n=10
1548,Portugal
1548,Peraire
1551,Brazil
1551,Portugal
1554,Fungal Kingdom
1554,Caulochytriomycota
1554,Chytridiomycota
1554,Basidiomycota
1554,Boletales
1554,Cortinarius
1554,Glomeromycota
1554,Myxomycetes
1554,Phyllosticta
1559,antennas
1566,Artificial
1571,ER
1573,Anthropocene
1576,Apps
1577,DC
1580,Melanoma
1583,AI
1583,Spain
1583,Brazil
1586,PON
1587,Manchester
1589,wideband
1591,AI
1595,Picturebook
1595,Picturebooks
1601,Angola
1602,Porto
1606,Recife
1606,Brazil
1608,Portugal
1609,Vončina
1609,Polyplacophora
1609,Mopaliidae
1609,Shinkailepas
1609,Phenacolepadidae
1609,Bivalvia
1609,Tanaidacea
1617,Russia
1617,Ukraine
1622,VR
1627,the Portuguese Republic
1628,P.L.
1633,Mexico
1637,Strontium
1649,Portugal
1650,Linguistics
1653,Mozambique
1654,Portugal
1654,AI
1657,Mozambique
1657,Capacity
1666,Brazil
1667,Aveiro
1667,Portugal
1675,Portugal
1676,Mozambique
1681,Brazil
1684,neophobia
1685,Phocoena
1686,USA
1686,China
1686,England
1688,IA
1688,Newton
1694,Portugal
1697,AI
1700,SAMSEF
1702,CV
1702,OA
1704,China
1704,U.S.
1705,SCRL
1705,EB
1705,TIC
1706,DR
1709,Lisbon
1709,Portugal
1713,subsp
1714,Idiotizadas
1715,GaN
1715,FET
1718,Milan
1718,Rome
1718,Italy
1718,Aveiro
1718,Portugal
1721,AI
1722,Portugal
1723,ER
1725,Portugal
1726,Portugal
1726,Delphinus
1726,Phocoena
1727,NS
1734,Portugal
1737,Camellia
1745,Colombia
1746,Kapton
1751,herbaria
1756,MO
1757,VR
1758,Portugal
1758,USA
1758,U.S.
1763,DC
1766,Coimbra
1766,Portugal
1768,States
1775,Portugal
1777,/e/
1777,Lisbon
1780,Cornuéjols
1782,PaCPn
1783,France
1785,Aveiro
1785,Portugal
1786,Congo
1786,CR
1788,Aveiro
1788,Portugal
1789,Israel
1796,biomass park management
1797,upper beach
1801,Portugal
1805,North Patagonia
1805,Patagonia
1805,New U-Pb
1805,Gondwana
1807,node
1812,Salicornia
1813,Portugal
1813,Crocidura
1816,Portugal
1816,UK
1818,Florida
1820,Portugal
1820,Aveiro
1820,BV
1826,Portugal
1830,Portugal
1830,F1
1834,Patos Beach
1834,NW Spain
1849,Portugal
1851,Portugal
1852,Phenolic
1853,Portugal
1853,Brazil
1864,Brazil
1864,Zn
1865,Mexico
1872,Portugal
1872,Aveiro
1872,Lisbon
1873,Brazil
1876,Gaia
1876,Portugal
1876,UE
1877,Portugal
1877,Denmark
1882,Greenland
1886,Smart City
1895,boson
1896,LA
1898,Aveiro
1898,Portugal
1901,LA
1901,Trindade Island
1901,Brazil
1907,Colombia
1907,Spain
1907,Portugal
1909,Porto
1909,Portugal
1915,Brazil
1916,Mauritania
1916,Iberia
1916,Phocoena
1921,F1
1923,Illumina
1925,Portugal
1925,Basidiomycota
1925,Scedosporium
1928,Brazil
1928,Ponta
1928,Zn
1930,Portugal
1934,Portugal
1935,Portugal
1936,HeLa
1941,Portugal
1941,Ria Formosa
1941,"North, Center"
1941,South Portugal
1941,Fulton
1941,Rio Sado
1945,Portugal
1946,Lisbon
1946,Portugal
1953,The Dominican Republic
1953,the Dominican Republic
1953,Barahona
1957,Portugal
1958,Portugal
1959,Geriatrics
1959,Perugia
1959,Italy
1959,Berlin
1959,Germany
1959,Bristol
1959,UK
1962,Vagos
1963,Portugal
1963,Spain
1964,Guarda
1965,Portugal
1967,DyIII
1972,Portugal
1973,Coimbra
1973,Portugal
1979,Spain
1979,Portugal
1980,Portugal
1981,SB
1983,Guadiana
1983,Iberia
1983,Upogebia
1986,L1
1988,−
1992,Portugal
1992,Blastocystis
1993,Sao Paulo
1993,Brazil
2004,Portugal
2004,Lisbon
2004,Cu
2004,Zn
2004,Mn
2008,Portugal
2022,F1
2023,Brazil
2027,Aberta
2027,Portugal
2030,kg·CO
2035,Kerr
2037,Portugal
2037,biota
2039,VT
2039,USA
2039,Chicago
2039,IL
2040,Iberia
2043,UE
2046,Mustela
2046,Iberia
2047,Portugal
2049,Portugal
2060,n’t
2062,Portugal
2062,Ria Formosa
2067,DetChar
2072,Drosophila
2073,Fungal
2073,Pleosporales
2073,Ageratinicola
2073,Kevinia
2073,Vizzinia
2073,Allocryptovalsa
2073,Calycina
2073,Hysterobrevium
2073,Kirschsteiniothelia
2073,Melomastia
2073,Nemania
2073,Petriella thailandica
2073,Setoseptoria
2073,Urnula
2074,AI
2080,Y3
2080,Y4
2082,Lean
2083,ABiO
2083,Zn
2085,Algeria
2088,starch
2089,Portugal
2089,EB
2090,Neotropic
2092,C3948
2093,NIR
2093,IB
2094,estrogen
2094,HER2
2094,Warburg
2094,HER2+
2095,Brazil
2098,Sandhoff
2099,Lycosa
2099,Dufour
2100,Brazil
2102,F1
2103,Brazil
2108,L1
2108,inf>4</inf>-BIAN)<inf>2</inf>][BF
2111,Cronbach
2113,Portugal
2114,Ukraine
2114,Portugal
2115,Roraima
2116,Irganox
2122,Atargis
2122,Spain
2122,NC
2123,CsBX
2125,PW
2129,Portugal
2129,France
2133,Crocidura
2134,Portugal
2139,Voronoi
2141,Brazil
2141,Zn
2147,DCF
2151,Platalea
2151,Spain
2151,Netherlands
2151,Portugal
2151,colonies
2151,Louisiana
2151,Procambarus
2153,HF
2154,Portugal
2156,Portugal
2162,Oman
2162,Shinas
2162,Samail
2162,Zn
2164,Australasia
2167,Poincaré
2170,CD44
2170,bCOL2A1
2179,HeLa
2181,Aveiro
2181,Portugal
2185,Portugal
2185,Tripadvisor
2186,SF
2186,Portugal
2187,COVID-19
2187,PD
2187,Vouga
2190,Morocco
2190,Algeria
2190,Tunisia
2190,herbaria
2190,Calendula
2193,Palatini
2195,AI
2199,Machico
2200,Portugal
2202,the Ovar Municipality
2202,Portugal
2206,Portugal
2209,CRD42021227944
2211,Brazil
2215,Portugal
2217,Portugal
2218,InP
2220,Candida
2222,Lisbon
2222,Rio de Janeiro
2226,k∈N
2233,Portugal
2233,Viana
2233,Caminha
2236,macroalgae
2236,Ulva
2238,GWTC-1
2239,Portugal
2239,LAs
2240,COX-2
2242,Suzuki
2248,Palatini
2252,MT
2255,Quaternary
2255,Morocco
2256,Zn
2256,Cr
2256,Pb
2256,Ghannouch
2258,Porto
2258,Portugal
2259,Lima
2265,Muscat
2270,LRchi2(2
2271,IO
2272,Beauveria
2272,Bb
2288,Cronbach
2292,Portugal
2292,Spain
2296,miRNAs
2300,N-(2
2305,Lizard Island
2305,Australia
2306,anaesthesia
2308,Gambusia
2309,Irgarol
2312,PM
2316,Brazil
2318,Brazil
2323,boson
2323,n=10
2324,Parvularculaceae
2327,MD
2329,Portugal
2332,Portugal
2336,Gibbs
2337,macroalgae
2338,Portugal
2338,West Region
2339,Paris
2341,F1
2341,N1
2345,Portugal
2346,Portugal
2346,USA
2346,Canada
2348,Portugal
2354,RA
2354,EBoD
2354,HBM4EU
2356,O. ferox
2356,Spain
2360,Brazil
2362,Caesalpinia
2362,width
2362,mL−1
2363,North Africa
2370,MD
2388,Morocco
2389,MO
2391,C-8′
2392,Saccharina
2392,F1
2396,Portugal
2403,Brazil
2406,Phenolic
2407,US
2408,Brazil
2410,Heterocapsa
2411,Portugal
2412,Iberia
2412,Portugal
2413,Inula
2414,LicT
2419,−
2420,Brazil
2426,California
2426,Mexico
2426,US
2426,Canada
2426,Alaska
2427,Tunisia
2427,the Kuriat Islands
2427,cyanobacteria
2427,chlorophytes
2427,Pseudo
2428,Portugal
2429,NCT05114395
2431,France
2431,Spain
2431,Greece
2431,Portugal
2431,Italy
2431,Pedroni
2434,Portugal
2434,Crocidura
2435,HeLa
2439,Zn
2439,LO
2443,Dunlin
2447,Portugal
2450,Olea
2450,Valpaços
2450,Portugal
2456,AI
2457,UC
2461,Germany
2462,ER
2464,Portugal
2466,Portugal
2469,F1
2472,France
2472,Portugal
2473,Cigarras beach
2473,Brazil
2473,Ammonia
2473,Bolivina
2476,Adenanthera pavonina L.
2477,EDTA
2477,iNKT
2479,Alteromonas
2480,U.S.
2482,Nile
2482,Spirulina
2485,AI
2486,South Africa
2493,F1
2495,São Paulo
2495,Brazil
2499,Portugal
2500,Caatinga
2502,Brazil
2504,Spain
2504,Portugal
2505,Aveiro
2505,Portugal
2506,Colombia
2508,ZnO
2509,SmartBnB
2512,AI
2517,Kitayama
2517,Bunyan
2519,Python
2519,Portugal
2524,East Timor
2529,Portugal
2529,AI
2530,Portugal
2536,Aveiro
2536,Portugal
2541,Spain
2541,Portugal
2542,Portugal
2544,Portugal
2545,WM
2546,Brazil
2546,Iran
2546,Portugal
2553,Python
2564,United Kingdom
2564,United States of America
2564,Venezuela
2564,South Africa
2564,People's Republic of China
2568,AlGaN
2573,Ukraine
2577,the Santos Basin
2577,SB
2577,Sao Paulo Plateau
2577,Globocassidulina
2577,Trifarina
2578,São Paulo
2584,Antwerp
2584,Portugal
2584,Évora
2584,Summa quaedam
2590,Portugal
2594,Elderly
2596,DBS
2596,Mass Spectrometry
2597,Oceania
2598,Portugal
2601,Portugal
2601,Brazil
2602,Urdu
2602,UFN
2605,Portugal
2605,England
2611,Brazil
2611,Portugal
2618,Skopje
2618,North Macedonia
2623,Portugal
2628,Portugal
2629,Portugal
2629,England
2629,United States
2629,Australia
2629,Singapore
2634,node
2643,GB
2645,Portugal
2647,USA
2647,UK
2647,Australia
2647,China
2647,India
2656,Portugal
2656,AI
2658,Portugal
2659,Accounting
2667,Accounting
2668,Portugal
2668,Brazil
2670,Mozambique
2680,Jamnagar
2680,India
2680,EB
2681,EB
2681,XYL
2681,ZSM-5
2681,Stull
2681,Westrum
2681,Sinke
2690,South Africa
2691,Brazil
2691,Portugal
2696,Portugal
2700,RSS
2708,ES
2710,Portugal
2712,Vietoris
2723,Curcuma
2725,Member States
2727,Portugal
2727,Porto
2727,Lisbon
2728,phenolic
2729,Portugal
